Date,NVDA_Close,NVDA_Close.Adj,NVDA_Volume,NVDA_Open,NVDA_High,NVDA_Low,NVDA_Dividends,NVDA_Stock Splits,NDQ_Close,NDQ_Open,VXN_Close,CPI_Day
11-11-20,13.42,13.38,404743600,13.05,13.43,12.95,0,0,11892.93,11734.81,30.29,0
12-11-20,13.46,13.42,366635000,13.48,13.77,13.32,0,0,11827.14,11924.15,30.91,1
13-11-20,13.3,13.26,346762320,13.63,13.67,13.06,0,0,11937.84,11910.62,29.03,0
16-11-20,13.52,13.47,413774800,13.17,13.65,13.16,0,0,12013.38,11925.36,27.37,0
17-11-20,13.42,13.38,312027960,13.55,13.6,13.3,0,0,11977.49,12030.27,27.31,0
18-11-20,13.43,13.39,510925200,13.47,13.61,13.19,0,0,11894.71,11963.36,27.47,0
19-11-20,13.44,13.4,565934400,13.21,13.49,13.1,0,0,11985.43,11863.12,26.81,0
20-11-20,13.09,13.05,341089800,13.45,13.49,13.07,0,0,11906.44,11976,26.91,0
23-11-20,13.14,13.1,361354200,13.17,13.38,13.02,0,0,11905.94,11959.89,26.64,0
24-11-20,12.96,12.92,346499960,13.14,13.16,12.89,0,0,12079.81,11952.7,25.99,0
25-11-20,13.23,13.19,259916400,13.03,13.27,13.02,0,0,12152.22,12112.11,25.69,0
27-11-20,13.26,13.22,167275200,13.38,13.41,13.17,0,0,12258.21,12220.37,26.12,0
30-11-20,13.4,13.36,286952000,13.27,13.41,12.97,0,0,12268.32,12278.78,26.68,0
01-12-20,13.39,13.35,297571280,13.49,13.53,13.23,0,0,12455.33,12387.62,27.41,0
02-12-20,13.54,13.5,283361200,13.35,13.67,13.23,0,0,12456.41,12390.58,27.55,0
03-12-20,13.4,13.36,199520640,13.59,13.66,13.33,0.004,0,12467.13,12469.16,27.39,0
04-12-20,13.56,13.52,202243400,13.45,13.56,13.39,0,0,12528.48,12479.91,27.02,0
07-12-20,13.61,13.57,223243240,13.6,13.73,13.5,0,0,12596.47,12523.57,27.2,0
08-12-20,13.35,13.31,271920880,13.59,13.6,13.28,0,0,12635.72,12574.84,26.08,0
09-12-20,12.93,12.9,401301200,13.3,13.41,12.87,0,0,12364.64,12626.97,29.32,0
10-12-20,12.97,12.94,207764720,12.87,13.07,12.85,0,0,12401.74,12268.47,29.15,1
11-12-20,13.01,12.98,209265640,12.97,13.02,12.82,0,0,12375.41,12327.07,29,0
14-12-20,13.31,13.27,270157880,13.09,13.39,13.08,0,0,12462.21,12427.86,29.44,0
15-12-20,13.36,13.32,193485920,13.44,13.46,13.19,0,0,12595.92,12565.28,28.1,0
16-12-20,13.24,13.21,223114680,13.42,13.44,13.21,0,0,12668.16,12607.87,27.85,0
17-12-20,13.34,13.3,231383880,13.37,13.38,13.18,0,0,12752.06,12741.64,27.04,0
18-12-20,13.27,13.24,342064640,13.38,13.41,13.07,0,0,12738.18,12786.92,26.91,0
21-12-20,13.33,13.3,302332160,13.07,13.37,12.97,0,0,12690.26,12575.6,28.35,0
22-12-20,13.28,13.24,186314880,13.32,13.34,13.05,0,0,12717.56,12715.48,27.94,0
23-12-20,13.01,12.97,179142760,13.26,13.28,13.01,0,0,12653.14,12733.75,27.33,0
24-12-20,12.99,12.96,97883520,13.04,13.13,12.94,0,0,12711.01,12668.19,25.94,0
28-12-20,12.9,12.86,212565640,13.06,13.06,12.76,0,0,12838.86,12813.97,25.91,0
29-12-20,12.94,12.91,170372160,12.93,13.07,12.84,0,0,12843.49,12909.86,26.82,0
30-12-20,13.15,13.11,225397160,12.99,13.21,12.9,0,0,12845.36,12900.03,26.29,0
31-12-20,13.06,13.02,192424400,13.14,13.15,12.92,0,0,12888.28,12852.96,26.93,0
04-01-21,13.11,13.08,560642000,13.1,13.65,12.96,0,0,12694.66,12950.22,30.13,0
05-01-21,13.4,13.37,322759920,13.1,13.44,13.09,0,0,12802.38,12663.13,28.42,0
06-01-21,12.61,12.58,580423200,13.22,13.25,12.59,0,0,12623.35,12601.26,29.27,0
07-01-21,13.34,13.31,461481600,12.97,13.38,12.89,0,0,12939.57,12745.41,26.99,0
08-01-21,13.28,13.24,292528600,13.36,13.42,13.04,0,0,13105.2,13037.24,27.93,0
